Accession number,Title,Organism,Sequence length,GC %
XM_048080074.1,"PREDICTED: Anser cygnoides glucagon like peptide 1 receptor (GLP1R), mRNA",Anser cygnoides,2526,49.1686460807601
NR_136563.2,"Homo sapiens glucagon like peptide 1 receptor (GLP1R), transcript variant 3, non-coding RNA",Homo sapiens,6524,49.63212752912324
NM_021332.2,"Mus musculus glucagon-like peptide 1 receptor (Glp1r), mRNA",Mus musculus,1480,56.75675675675676
NM_012728.2,"Rattus norvegicus glucagon-like peptide 1 receptor (Glp1r), mRNA",Rattus norvegicus,3065,54.91027732463295
XM_046450712.1,"PREDICTED: Marmota monax glucagon like peptide 1 receptor (Glp1r), mRNA",Marmota monax,1536,61.653645833333336
