Accession number, Title, Organism, Sequence length, CG %
XM_013193597,XM_013193597,Anser cygnoides,5409,47.34701423553337
NM_001389240,NM_001389240,Rattus norvegicus,4759,45.5557890313091
NM_182907,NM_182907,Homo sapiens,4673,44.14722876096726
NM_001244716,NM_001244716,Danio rerio,1860,40.806451612903224
NM_001378971,NM_001378971,Mus musculus,4062,60.068931560807485
NM_001313834,NM_001313834,Canis lupus familiaris,1053,60.30389363722697
JACTAM010000002,JACTAM010000002,Labeo rohita,39672848,31.772455559530286
